Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
Hon.,Chrystia,Freeland,University—Rosedale,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Hedy,Fry,Vancouver Centre,British Columbia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Cheryl,Gallant,Renfrew—Nipissing—Pembroke,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Marc,Garneau,Notre-Dame-de-Grâce—Westmount,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Randall,Garrison,Esquimalt—Saanich—Sooke,British Columbia,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Marie-Hélène,Gaudreau,Laurentides—Labelle,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Leah,Gazan,Winnipeg Centre,Manitoba,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Bernard,Généreux,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Quebec,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Garnett,Genuis,Sherwood Park—Fort Saskatchewan,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Mark,Gerretsen,Kingston and the Islands,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Marilène,Gill,Manicouagan,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Marilyn,Gladu,Sarnia—Lambton,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Joël,Godin,Portneuf—Jacques-Cartier,Quebec,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Karina,Gould,Burlington,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Jacques,Gourde,Lévis—Lotbinière,Quebec,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Tracy,Gray,Kelowna—Lake Country,British Columbia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Matthew,Green,Hamilton Centre,Ontario,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Steven,Guilbeault,Laurier—Sainte-Marie,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Patty,Hajdu,Thunder Bay—Superior North,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Jasraj Singh,Hallan,Calgary Forest Lawn,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Ken,Hardie,Fleetwood—Port Kells,British Columbia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Jack,Harris,St. John's East,Newfoundland and Labrador,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Randy,Hoback,Prince Albert,Saskatchewan,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Mark,Holland,Ajax,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Anthony,Housefather,Mount Royal,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Carol,Hughes,Algoma—Manitoulin—Kapuskasing,Ontario,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Ahmed,Hussen,York South—Weston,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Gudie,Hutchings,Long Range Mountains,Newfoundland and Labrador,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Angelo,Iacono,Alfred-Pellan,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Marci,Ien,Toronto Centre,Ontario,Liberal,2020-10-26 12:00:00 AM,2021-09-19 11:59:59 PM
,Helena,Jaczek,Markham—Stouffville,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Tamara,Jansen,Cloverdale—Langley City,British Columbia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Matt,Jeneroux,Edmonton Riverbend,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Gord,Johns,Courtenay—Alberni,British Columbia,NDP,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
