KPICategory,KPIMeasure,KPIYear,KPIValue
Open days,Days Open,2009,338
Borrowing,Materials Used In-House,2015,121200
Training,Formal Technology Training Sessions - number of session,2004,194
Training,Formal Technology Training Sessions - number of session,2012,181
Internet,Patron Use of Public Computers,2014,77219
Visits,Patrons visiting the Bookmobile,2013,21226
Visits,Electronic - Web Site Visits,2014,374900
Answers,Reference Transactions via the Internet,2007,1213
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2012,562
Internet,Patron Use of Public Computers,2003,43680
Visits,Electronic - Visits to the Catalogue on the Web,2004,116894
Training,Formal Technology Training Sessions - number trained,2014,368
Programs,Program Participants,2002,26049
Visits,Electronic - Visits to the Catalogue on the Web,2014,609700
Answers,Staff-Mediated Customer Service/ Information Transactions,2008,17325
Internet,Patron Use of Public Computers,2009,69778
Collections,Items Received,2001,14024
Borrowing,Physical Material Borrowed (Central and Bookmobile),2013,1367191
Collections,Items Processed,2008,29907
Volunteers,Volunteer Hours,2008,2633
Training,Informal Technology Training Sessions,2008,9308
Collections,Library Materials Items Owned by the Library,2015,248914
Borrowing,Total Library Materials Used,2013,1597812
Collections,Items Received,2007,25375
Library use,Number of people reporting use of Library (County Survey),2012,57105
Borrowing,Circulation of Library Materials Borrowed Per Capita,2012,15.69
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2003,44497
Borrowing,Physical Material Borrowed (Central and Bookmobile),2008,1002577
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2011,122371
Visits,Patrons visiting Central Library,2011,569173
Library use,Library Cards Purchased,2002,10665
Population,Population Served,2007,84500
Internet,Use of wireless internet,2014,128257
Answers,Staff-Mediated Customer Service/ Information Transactions,2009,22504
Training,Informal Technology Training Sessions,2010,8432
Programs,Program Participants,2011,42576
Library use,Number of people reporting use of Library (County Survey),2001,44631
Training,Formal Technology Training Sessions - number of session,2009,117
Collections,Items Ordered,2011,37593
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2007,106173
Open days,Days Open,2002,321
Borrowing,Materials Used In-House,2001,143208
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2003,80396
Visits,Electronic - Web Site Visits,2001,62617
Answers,Staff-Mediated Customer Service/ Information Transactions,2014,34070
Collections,Unique Titles Owned by the Library,2011,161100
Answers,Reference Questions/Transactions - Total,2006,64274
Population,Population Served,2001,71986
Borrowing,Physical Material Borrowed (Central and Bookmobile),2012,1382661
Borrowing,Items Borrowed from Fort Saskatchewan,2012,26957
Answers,Reference Transactions via the Internet,2015,1295
Borrowing,Items Lent to Fort Saskatchewan,2006,8573
Programs,Program Participants,2013,53900
Training,Formal Technology Training Sessions - number of session,2001,93
Collections,Items Received,2010,64659
Collections,Unique Titles Owned by the Library,2014,183834
Visits,Patrons visiting Central Library,2014,541806
Collections,Electronic items Owned or Licensed by the Library,2014,10626
Visits,Patrons visiting Central Library,2002,320117
Borrowing,Materials Used In-House,2013,133104
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2012,79220
Visits,Electronic - Visits to the Catalogue on the Web,2013,584639
Answers,Reference Transactions via the Internet,2003,350
Visits,Total Patron Visits,2010,961276
Visits,Electronic - Web Site Visits,2012,300402
Collections,Items Catalogued,2002,8165
Library use,Number of people reporting use of Library (County Survey),2015,61756
Collections,Unique Titles Owned by the Library,2005,127636
Volunteers,Volunteer Hours,2013,4074
Visits,Patrons visiting the Bookmobile,2001,7952
Internet,Use of wireless internet,2012,107917
Borrowing,Items Lent to Fort Saskatchewan,2012,15268
Visits,Patrons visiting Central Library,2010,484651
Library use,Library Cards Purchased,2006,13090
Borrowing,Items Lent to Fort Saskatchewan,2009,12080
Visits,Electronic - Web Site Visits,2011,272425
Answers,Staff-Mediated Customer Service/ Information Transactions,2010,31727
Answers,Staff-Mediated Customer Service/ Information Transactions,2011,37373
Collections,Items Processed,2011,42211
Collections,Items Received,2012,41348
Volunteers,Volunteer Hours,2003,2513
Borrowing,Items Borrowed from Other Libraries,2014,2996
Borrowing,Materials Used In-House,2003,141440
Borrowing,Laptop Loans,2012,139
Borrowing,Items Lent to Other Libraries,2003,833
Open days,Days Open,2013,350
Training,Informal Technology Training Sessions,2012,28225
Library use,Number of people reporting use of Library (County Survey),2014,59668
Visits,Electronic - Web Site Visits,2010,206473
Answers,Reference Questions/Transactions - Total,2001,183100
Internet,Use of wireless internet,2011,31200
Borrowing,Circulation of Library Materials Borrowed Per Capita,2007,11.47
Internet,Patron Use of Public Computers,2007,66250
Visits,Total Patron Visits,2008,818635
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2004,40274
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2001,49147
Borrowing,Materials Used In-House,2010,157536
Collections,Library Materials Items Owned by the Library,2011,225103
Borrowing,Items Lent to Other Libraries,2013,1269
Borrowing,Items Borrowed from Fort Saskatchewan,2003,13615
Collections,Library Materials Items Owned by the Library,2004,161254
Visits,Electronic - Visits to the Catalogue on the Web,2005,133488
Visits,Patrons visiting the Bookmobile,2006,9852
Library use,Number of people reporting use of Library (County Survey),2002,42660
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2004,304
Collections,Items Processed,2010,63655
Population,Population Served,2013,93523
Collections,Items Received,2003,14805
Volunteers,Volunteer Hours,2011,2672
Open days,Days Open,2011,339
Borrowing,Materials Used In-House,2006,164483
Training,Informal Technology Training Sessions,2015,22991
Collections,Items Received,2009,33950
Collections,Items Catalogued,2010,27080
