,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
176,Señorita,"Shawn Mendes",803238,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
177,"Volando - Remix",Mora,802725,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
178,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",800773,https://open.spotify.com/track/0VO8gYVDSwM1Qdd2GsMoYK
179,Bored,"Billie Eilish",798135,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
180,"All of Me","John Legend",796792,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
181,"Just the Way You Are","Bruno Mars",796158,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
182,"Why'd You Only Call Me When You're High?","Arctic Monkeys",795162,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
183,"Dance Monkey","Tones And I",793737,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
184,"No Lie","Sean Paul",792552,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA
185,"Love Yourself","Justin Bieber",792074,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0
186,Shallow,"Lady Gaga",790287,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
187,Starboy,"The Weeknd",789970,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
188,"Crazy What Love Can Do","David Guetta",789794,https://open.spotify.com/track/1WCEAGGRD066z2Q89ObXTq
189,"Fingers Crossed","Lauren Spencer-Smith",787571,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ
190,positions,"Ariana Grande",786289,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
191,"Say You Won't Let Go","James Arthur",782200,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
192,"Talking to the Moon","Bruno Mars",781477,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
193,"I Gotta Feeling","Black Eyed Peas",780053,https://open.spotify.com/track/4kLLWz7srcuLKA7Et40PQR
194,"Every Breath You Take","The Police",779932,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
195,"In Da Club","50 Cent",779108,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC
196,Stan,Eminem,779027,https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz
197,"Sweet Child O' Mine","Guns N' Roses",778647,https://open.spotify.com/track/7o2CTH4ctstm8TNelqjb51
198,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",777838,https://open.spotify.com/track/22skzmqfdWrjJylampe0kt
199,Memories,"Maroon 5",776155,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
200,712PM,Future,775607,https://open.spotify.com/track/3FSwpQ9dBZBeBV6UdYHI2R
